"","Tumor_Sample_Barcode","Count","TMB"
"1","BIDMC1_pre",99,2.82248526327701
"2","BIDMC3_pre",59,1.68208717710448
"3","BIDMC5_pre",119,3.39268430636327
"4","BIDMC7_pre",49,1.39698765556135
"5","BIDMC8_pre",141,4.01990325375816
"6","DFC10_pre",114,3.2501345455917
"7","DFC11_pre",100,2.85099521543132
"8","DFC13_post",24,0.684238851703517
"9","DFC13_pre",20,0.570199043086264
"10","DFC14_pre",105,2.99354497620289
"11","DFC15_pre_FFT",307,8.75255531137415
"12","DFC16_post",129,3.6777838279064
"13","DFC16_pre",148,4.21947291883835
"14","DFC17_pre",55,1.56804736848723
"15","DFC1_pre_FFT",88,2.50887578957956
"16","DFC20_pre",83,2.366326028808
"17","DFC23_pre",35,0.997848325400962
"18","DFC2_post",169,4.81818191407893
"19","DFC2_pre",236,6.72834870841791
"20","DFC4_post",89,2.53738574173387
"21","DFC4_pre_FFT",78,2.22377626803643
"22","DFC6_pre",105,2.99354497620289
"23","DFC7_pre",110,3.13609473697445
"24","DFC8_pre_FFT",155,4.41904258391854
"25","MGH10_pre",88,2.50887578957956
"26","MGH11_post",42,1.19741799048115
"27","MGH11_pre",46,1.31145779909841
"28","MGH12_post",44,1.25443789478978
"29","MGH12_pre",63,1.79612698572173
"30","MGH13_pre",91,2.5944056460425
"31","MGH2_pre",126,3.59225397144346
"32","MGH3_pre",103,2.93652507189426
"33","MGH4_pre",31,0.883808516783709
"34","MGH5_pre",107,3.05056488051151
"35","MGH6_pre",189,5.38838095716519
"36","MGH7_pre",85,2.42334593311662
"37","MGH8_pre",100,2.85099521543132
"38","MGH9_pre",62,1.76761703356742
"39","MGNS2_pre",39,1.11188813401821
"40","MGNS5_pre",472,13.4566974168358
"41","MGNS6_post",51,1.45400755986997
"42","MGNS6_pre",42,1.19741799048115
"43","NWH1_pre",28,0.79827866032077
"44","NWH3_post",45,1.28294784694409
"45","NWH3_pre",42,1.19741799048115
